start_tz,start,end_tz,end,activity
UTC,1451407830,UTC,1451409406,work
UTC,1451468582,UTC,1451471237,work
UTC,1451473700,UTC,1451479174,work
UTC,1451482896,UTC,1451495133,work
UTC,1451497718,UTC,1451503650,work
UTC,1451506153,UTC,1451506796,work
UTC,1451897447,UTC,1451903581,work
UTC,1451904710,UTC,1451908934,work
UTC,1451912659,UTC,1451916407,work
UTC,1451917348,UTC,1451922232,work
UTC,1451923897,UTC,1451927425,work
UTC,1451984021,UTC,1451992934,work
UTC,1451993370,UTC,1452001994,work
UTC,1452004420,UTC,1452012839,work
UTC,1452071038,UTC,1452074528,work
UTC,1452078065,UTC,1452082869,work
UTC,1452084171,UTC,1452085724,work
UTC,1452085728,UTC,1452088461,dogwalking
UTC,1452088779,UTC,1452089979,work
UTC,1452093010,UTC,1452095349,work
UTC,1452096410,UTC,1452102176,work
UTC,1452159743,UTC,1452168640,work
UTC,1452174219,UTC,1452179947,work
UTC,1452181308,UTC,1452185013,work
UTC,1452245239,UTC,1452248216,work
UTC,1452249876,UTC,1452255260,work
UTC,1452261269,UTC,1452268938,work
UTC,1452269477,UTC,1452270502,work
UTC,1452271278,UTC,1452272507,work
UTC,1452503218,UTC,1452504047,work
UTC,1452504047,UTC,1452508798,khan
UTC,1452513442,UTC,1452514528,khan
UTC,1452514528,UTC,1452515492,work
UTC,1452519909,UTC,1452528938,work
UTC,1452547289,UTC,1452548232,work
UTC,1452551155,UTC,1452555906,work
UTC,1452590230,UTC,1452598365,work
UTC,1452607661,UTC,1452612230,work
UTC,1452615766,UTC,1452616734,khan
UTC,1452678467,UTC,1452680661,work
UTC,1452681695,UTC,1452684857,khan
UTC,1452684857,UTC,1452686589,work
UTC,1452687608,UTC,1452690615,work
UTC,1452695168,UTC,1452699841,work
UTC,1452700401,UTC,1452705071,work
UTC,1452765774,UTC,1452771743,work
UTC,1452777652,UTC,1452778462,work
UTC,1452779550,UTC,1452787228,work
UTC,1452852753,UTC,1452863647,work
UTC,1452867971,UTC,1452869663,work
UTC,1452871277,UTC,1452874696,work
UTC,1453107774,UTC,1453110402,work
UTC,1453111477,UTC,1453113223,work
UTC,1453120084,UTC,1453131009,work
UTC,1453192939,UTC,1453207281,work
UTC,1453210340,UTC,1453222240,work
UTC,1453280443,UTC,1453284880,work
UTC,1453285867,UTC,1453295385,work
UTC,1453298348,UTC,1453299961,work
UTC,1453300748,UTC,1453309930,work
UTC,1453334354,UTC,1453336996,work
UTC,1453371767,UTC,1453373019,work
UTC,1453374941,UTC,1453375470,work
UTC,1453393726,UTC,1453393976,work
UTC,1453456734,UTC,1453463331,work
UTC,1453474992,UTC,1453477030,work
UTC,1453479114,UTC,1453485863,work
UTC,1453715386,UTC,1453716038,work
UTC,1453717441,UTC,1453720568,work
UTC,1453721383,UTC,1453724790,work
UTC,1453731764,UTC,1453732529,work
UTC,1453734903,UTC,1453737711,work
UTC,1453801052,UTC,1453804243,work
UTC,1453813467,UTC,1453814961,work
UTC,1453815948,UTC,1453818226,work
UTC,1453825230,UTC,1453829070,work
UTC,1453891097,UTC,1453894456,work
UTC,1453897587,UTC,1453898442,work
